"MPG","bodyType","color","description","engine","location","mileage","price","primaryImage","title","transmission","url","vehicleDetails","vin"
"26 city / 32 hwy","SUV","Gray","Used 2017 Subaru Forester 2.5i with  All-Wheel Drive, Keyless Entry, Fog Lights, Spoiler, Leather Seats, Heated Seats, Roof Rails, Power Liftgate, Alloy Wheels, 17 Inch Wheels, and Heated Mirrors","4 Cyl 2.5 L","Hawthorne, CA  (9 miles from Los Angeles, CA)","108,126 miles","$13,600","https://carfax-img.vast.com/carfax/v2/4427482442894657006/1/344x258","Used 2017 Subaru Forester 2.5i Limited","Automatic","https://www.carfax.com/vehicle/JF2SJALC0HH470187","No accident or damage reported to CARFAXPurchased on 10/27/16 and owned in CA until 04/15/25Last serviced in Hawthorne, CA on 04/16/25 Driven an estimated 12,835  miles/year.","JF2SJALC0HH470187"
"27 city / 37 hwy","Sedan","Orange","Used 2022 Honda Civic Si with  Front-Wheel Drive, Navigation System, Bucket Seats, Blind Spot Monitor, Alloy Wheels, Led Lights, Lane Departure Warning, Heated Mirrors, Satellite Radio, Premium Sound System, and Cloth Seats","4 Cyl 1.5 L","Culver City, CA  (9 miles from Los Angeles, CA)","15,568 miles","$27,990","https://carfax-img.vast.com/carfax/v2/8149354958805204840/1/344x258","Used 2022 Honda Civic Si","Manual","https://www.carfax.com/vehicle/2HGFE1E50NH471012","No accident or damage reported to CARFAXPurchased on 01/02/22 and owned in CA until 05/01/25Last serviced in Culver City, CA on 05/15/25 Driven an estimated 4,818  miles/year.","2HGFE1E50NH471012"
"30 city / 37 hwy","Hatchback","Blue","Used 2023 Honda Civic Sport Touring with  Front-Wheel Drive, Keyless Entry, Fog Lights, Leather Seats, Heated Seats, Blind Spot Monitor, 18 Inch Wheels, Alloy Wheels, Lane Departure Warning, Bose Sound System, and Heated Mirrors","4 Cyl 1.5 L","Santa Monica, CA  (14 miles from Los Angeles, CA)","14,567 miles","$28,704","https://carfax-img.vast.com/carfax/v2/582324483878573211/1/344x258","Certified Used 2023 Honda Civic Sport Touring","Automatic","https://www.carfax.com/vehicle/19XFL1H83PE010671","No accident or damage reported to CARFAXPurchased on 07/07/23 and owned in CA until 06/02/25Last serviced at 14,567 miles in Santa Monica, CA on 06/03/25 Driven an estimated 7,853  miles/year.","19XFL1H83PE010671"
"18 city / 28 hwy","Minivan","Gray","Used 2017 Chrysler Pacifica Touring with  Front-Wheel Drive, DVD, Passenger Van, Bucket Seats, Power Liftgate, Blind Spot Monitor, Alloy Wheels, Led Lights, 17 Inch Wheels, Heated Mirrors, and Satellite Radio","6 Cyl 3.6 L","Upland, CA  (36 miles from Los Angeles, CA)","107,475 miles","$10,995","https://carfax-img.vast.com/carfax/v2/8344491672432492986/1/344x258","Used 2017 Chrysler Pacifica Touring","Automatic","https://www.carfax.com/vehicle/2C4RC1DGXHR570679","Other damage reportedPurchased on 11/25/16 and owned in CA until 09/04/24Last serviced at 105,243 miles in National City, CA on 05/25/24 Driven an estimated 14,133  miles/year.","2C4RC1DGXHR570679"
"30 city / 38 hwy","Sedan","White","Used 2022 Honda Accord LX with  Front-Wheel Drive, Keyless Entry, Bucket Seats, Alloy Wheels, Lane Departure Warning, Keyless Ignition, Cloth Seats, and Compact Spare Tire","4 Cyl 1.5 L","Sherman Oaks, CA  (18 miles from Los Angeles, CA)","24,186 miles","$22,998","https://carfax-img.vast.com/carfax/v2/-1097135269386907419/1/344x258","Used 2022 Honda Accord LX","Automatic","https://www.carfax.com/vehicle/1HGCV1F11NA025268","No accident or damage reported to CARFAXPurchased on 03/23/22 and owned in CA until 05/26/25Last serviced at 24,186 miles in Sherman Oaks, CA on 05/29/25 Driven an estimated 7,575  miles/year.","1HGCV1F11NA025268"
"17 city / 23 hwy","SUV","Black","Used 2025 Porsche Macan S with  All-Wheel Drive, Leather Package, Navigation System, Keyless Entry, Spoiler, Leather Seats, Heated Seats, Power Liftgate, Alloy Wheels, 20 Inch Wheels, and Heated Mirrors","6 Cyl 2.9 L","Westlake Village, CA  (36 miles from Los Angeles, CA)","650 miles","$84,004","https://carfax-img.vast.com/carfax/v2/3109737506633968230/1/344x258","Certified Used 2025 Porsche Macan S","Automatic","https://www.carfax.com/vehicle/WP1AG2A59SLB41848","No accident or damage reported to CARFAXPurchased on 03/11/25 and owned in CA until 04/12/25Last serviced at 650 miles in Westlake Village, CA on 04/25/25 Driven an estimated 0  miles/year.","WP1AG2A59SLB41848"
"29 city / 35 hwy","Sedan","White","Used 2018 Honda Accord Sport with  Front-Wheel Drive, Keyless Entry, Fog Lights, Bucket Seats, Alloy Wheels, Led Lights, Lane Departure Warning, Keyless Ignition, Cloth Seats, Rear Bench Seat, and Vinyl Seats","4 Cyl 1.5 L","Culver City, CA  (9 miles from Los Angeles, CA)","46,518 miles","$21,534","https://carfax-img.vast.com/carfax/v2/-4873639461990429464/1/344x258","Used 2018 Honda Accord Sport","Automatic","https://www.carfax.com/vehicle/1HGCV1F38JA243820","No accident or damage reported to CARFAXPurchased on 11/04/18 and owned in CA until 05/27/25Last serviced at 39,877 miles in Culver City, CA on 07/05/24 Driven an estimated 7,137  miles/year.","1HGCV1F38JA243820"
"23 city / 29 hwy","SUV","Black","Used 2021 Volkswagen Tiguan SEL with  Front-Wheel Drive, Navigation System, Keyless Entry, Fog Lights, Spoiler, Heated Seats, Heated Steering Wheel, Roof Rails, Power Liftgate, Blind Spot Monitor, and 19 Inch Wheels","4 Cyl 2.0 L","Woodland Hills, CA  (24 miles from Los Angeles, CA)","65,229 miles","$18,795","https://carfax-img.vast.com/carfax/v2/-1600061758792480272/1/344x258","Certified Used 2021 Volkswagen Tiguan SEL","Automatic","https://www.carfax.com/vehicle/3VV3B7AX8MM009948","No accident or damage reported to CARFAXPurchased on 11/29/20 and owned in CA until 05/27/25Last serviced at 65,242 miles in Woodland Hills, CA on 06/05/25 Driven an estimated 14,678  miles/year.","3VV3B7AX8MM009948"
"21 city / 27 hwy","4 Cyl 2.0 L","SUV","Used 2021 Volkswagen Tiguan SEL with  All-Wheel Drive, Navigation System, Fog Lights, Leather Seats, Heated Seats, Power Liftgate, Blind Spot Monitor, Alloy Wheels, Led Lights, 20 Inch Wheels, and Heated Mirrors","Automatic","Upland, CA  (36 miles from Los Angeles, CA)","89,764 miles","$17,995","https://carfax-img.vast.com/carfax/v2/-245108675071267332/1/344x258","Used 2021 Volkswagen Tiguan SEL Premium R-Line",,"https://www.carfax.com/vehicle/3VV4B7AX9MM110002","No accident or damage reported to CARFAXPurchased on 05/26/21 and owned in SC until 07/31/24Last serviced in Irvine, CA on 08/01/24 Driven an estimated 28,194  miles/year.","3VV4B7AX9MM110002"
"19 city / 26 hwy","SUV","White","Used 2022 Jeep Grand Cherokee Limited Edition with  Rear-Wheel Drive, Remote Start, Navigation System, Fog Lights, Trailer Hitch, Leather Seats, Running Boards, Heated Seats, Subwoofer, Heated Steering Wheel, and Tinted Windows","6 Cyl 3.6 L","Corona, CA  (42 miles from Los Angeles, CA)","106,122 miles","$17,995","https://carfax-img.vast.com/carfax/v2/-265941057800115402/1/344x258","Used 2022 Jeep Grand Cherokee Limited Edition","Automatic","https://www.carfax.com/vehicle/1C4RJEBG3NC155515","No accident or damage reported to CARFAXPurchased on 05/25/22 and owned in CA until 03/28/25Last serviced 09/24/24 Driven an estimated 37,510  miles/year.","1C4RJEBG3NC155515"
"16 city / 22 hwy","SUV","Beige","Used 2015 GMC Yukon SLT with  Four-Wheel Drive, Towing Package, Remote Start, Roof Rack, Navigation System, Keyless Entry, Trailer Hitch, Leather Seats, Running Boards, Heated Seats, and Trailer Wiring","8 Cyl 5.3 L","Van Nuys, CA  (18 miles from Los Angeles, CA)","180,918 miles","$15,995","https://carfax-img.vast.com/carfax/v2/-6350391295675214298/1/344x258","Used 2015 GMC Yukon SLT","Automatic","https://www.carfax.com/vehicle/1GKS2BKC4FR525707","No accident or damage reported to CARFAXPurchased on 12/10/14 and owned in CA until 05/10/25Last serviced at 181,024 miles in Van Nuys, CA on 05/08/25 Driven an estimated 17,438  miles/year.","1GKS2BKC4FR525707"
"23 city / 29 hwy","SUV","Black","Used 2021 Volkswagen Tiguan S with  Front-Wheel Drive, Keyless Entry, Spoiler, Roof Rails, Alloy Wheels, Third Row Seating, 17 Inch Wheels, Heated Mirrors, and Cloth Seats","4 Cyl 2.0 L","Hawthorne, CA  (9 miles from Los Angeles, CA)","77,575 miles","$15,000","https://carfax-img.vast.com/carfax/v2/2664882796621601987/1/344x258","Used 2021 Volkswagen Tiguan S","Automatic","https://www.carfax.com/vehicle/3VV1B7AX6MM068407","No accident or damage reported to CARFAXPurchased on 05/06/21 and owned in CA until 04/30/25Last serviced at 77,575 miles in Hawthorne, CA on 06/10/25 Driven an estimated 19,662  miles/year.","3VV1B7AX6MM068407"
